Reading	Listening_music	Cinema	Show	Exhibition	Computer	Sport	Walking	Travelling	Playing_music	Collecting	Volunteering	Mechanic	Gardening	Knitting	Cooking	Fishing	TV	Sex	Age	Marital_status	Profession	nb_activitees
y	n	n	y	n	n	n	n	y	n	n	n	y	n	n	n	n	n4	M	(45,55]	Married	Unskilled_worker	5
y	y	y	y	y	n	n	y	n	n	n	n	y	n	n	n	n	n2	F	(45,55]	Single	NotAvailable	8
y	y	y	y	y	y	y	y	y	y	n	n	n	n	n	n	n	n4	F	(45,55]	Single	Employee	11
n	y	n	n	n	n	y	n	y	n	n	n	n	n	n	y	n	n1	M	(45,55]	Divorcee	Unskilled_worker	5
n	y	y	y	y	n	n	y	n	y	y	n	y	n	n	n	n	n3	F	(45,55]	Married	Employee	9
y	y	y	y	y	n	y	n	y	n	n	n	y	n	n	y	n	n1	M	(25,35]	Single	Management	10
n	y	y	y	y	n	n	n	n	n	n	n	n	n	n	n	n	n3	F	(25,35]	Divorcee	Unskilled_worker	5
y	y	y	y	n	n	y	n	y	y	n	n	n	n	n	y	n	n4	F	(35,45]	Married	Management	9
y	y	y	y	y	y	y	y	y	y	n	n	y	y	n	y	n	n4	F	[15,25]	Single	Management	14
y	n	n	y	n	y	y	y	n	n	n	y	y	n	n	n	n	n3	M	(55,65]	Divorcee	Management	8
y	y	n	n	n	n	n	n	y	n	y	n	n	y	y	y	n	n0	F	(55,65]	Divorcee	NotAvailable	7
y	n	n	y	y	n	n	y	n	n	n	y	n	n	n	n	n	n0	F	(35,45]	Single	Employee	5
y	n	y	n	n	y	n	n	n	n	n	n	n	n	n	n	n	n2	F	(35,45]	Divorcee	Employee	4
n	n	n	n	y	n	n	y	y	n	n	n	n	y	y	y	n	n2	F	(55,65]	Married	Employee	7
y	y	y	y	y	y	n	y	y	n	n	n	y	y	n	y	n	n2	M	(35,45]	Single	Management	12
n	y	y	y	y	n	n	n	y	y	n	n	y	n	n	y	n	n3	M	(35,45]	Single	Employee	9
y	y	y	y	y	y	n	y	y	y	n	y	n	n	n	n	n	n4	M	(65,75]	Widower	Management	11
y	y	y	y	y	y	y	y	y	y	n	n	n	n	n	n	n	n4	F	(25,35]	Single	Management	11
n	y	y	n	n	y	y	n	y	n	n	n	n	n	n	n	n	n2	M	(25,35]	Single	Management	6
y	y	y	y	y	y	n	n	y	n	n	n	n	n	n	y	n	n0	F	[15,25]	Single	NotAvailable	8
y	y	n	n	y	n	y	n	n	n	n	n	n	n	n	n	n	n0	M	[15,25]	Single	NotAvailable	4
y	y	y	y	n	y	y	y	n	n	n	n	n	n	y	y	n	n2	F	(25,35]	Single	Technician	10
y	y	y	y	y	n	y	n	n	n	n	n	y	n	n	n	n	n4	M	(35,45]	Single	Management	8
n	y	y	y	n	n	n	y	n	n	n	n	y	n	n	n	n	n4	M	(65,75]	Single	Technician	6
y	y	y	n	n	y	n	y	n	n	n	n	n	n	n	n	n	n0	M	(55,65]	Single	Technician	5
y	y	y	n	n	n	y	y	y	y	n	y	y	y	n	y	n	n0	F	(35,45]	Single	Management	11
y	y	y	y	n	n	n	n	n	n	n	n	n	y	y	n	n	n3	F	(55,65]	Divorcee	Technician	7
y	y	y	n	y	n	n	n	n	n	n	n	n	y	n	n	n	n0	F	(45,55]	Single	Employee	5
n	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	n4	F	(65,75]	Divorcee	Employee	2
n	n	n	n	n	y	n	n	n	n	n	n	n	n	n	n	n	n4	F	(45,55]	Married	Employee	2
y	y	n	n	y	n	n	y	n	y	y	n	n	y	n	n	n	n1	M	(65,75]	Married	Management	8
y	y	y	y	y	y	y	n	y	y	n	n	y	y	n	y	n	n1	M	(35,45]	Single	Foreman	13
y	y	n	n	y	n	n	n	y	n	n	y	n	n	n	n	n	n3	M	(55,65]	Married	Management	6
y	y	y	y	y	n	y	n	y	y	n	n	y	n	n	n	n	n3	M	(65,75]	Married	NotAvailable	10
y	y	y	n	y	y	y	y	y	y	n	n	y	y	n	y	n	n1	M	(25,35]	Single	Management	13
y	y	y	y	y	n	y	y	y	y	n	y	n	n	n	n	n	n0	F	[15,25]	Single	NotAvailable	10
y	y	y	y	y	y	n	n	y	y	n	n	y	n	n	y	n	n1	F	(65,75]	Divorcee	Employee	11
y	y	y	y	y	y	n	y	n	y	n	n	n	n	n	n	n	n2	F	[15,25]	Single	NotAvailable	9
y	y	n	y	n	y	y	y	y	y	n	n	y	n	n	y	y	n4	M	(25,35]	Married	Management	12
y	y	y	y	n	y	n	y	y	n	y	n	y	n	n	n	n	n1	M	(35,45]	Married	Management	10
y	y	y	n	y	y	y	n	y	n	n	n	n	n	n	n	n	n2	M	[15,25]	Single	NotAvailable	8
y	y	y	y	y	y	n	y	n	n	n	y	y	n	n	n	n	n4	M	(35,45]	Single	Foreman	10
y	y	y	n	y	y	n	y	y	n	n	n	y	n	n	y	n	n2	F	(25,35]	Married	Employee	10
y	y	y	y	y	y	y	y	y	y	n	y	y	n	n	y	n	n2	F	[15,25]	Single	Employee	14
y	y	n	y	y	y	y	n	y	y	y	n	y	y	y	n	n	n2	F	(35,45]	Single	NotAvailable	13
y	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n2	F	(65,75]	Single	Employee	2
y	y	y	y	y	n	n	y	n	y	n	y	n	n	n	n	n	n4	F	(75,85]	Widower	Management	9
n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n3	M	(75,85]	Remarried	Manual_labourer	1
y	y	y	y	n	n	y	n	y	n	n	y	n	n	n	y	n	n0	M	(25,35]	Single	Management	8
y	y	y	n	y	y	y	y	y	n	n	y	y	n	n	n	n	n4	M	(45,55]	Married	Management	11
y	y	y	y	y	y	n	n	y	n	n	n	n	n	y	y	n	n2	F	(65,75]	Married	Management	10
y	y	y	y	y	y	n	y	y	n	n	y	n	n	n	n	n	n4	M	(45,55]	Remarried	Management	10
y	y	y	y	y	y	n	n	y	n	n	n	n	n	n	n	n	n2	M	(35,45]	Remarried	Employee	8
y	y	y	n	n	y	y	y	y	n	n	n	n	n	n	n	n	n1	M	(25,35]	Married	NotAvailable	8
n	y	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	n4	F	(55,65]	Single	NotAvailable	3
y	y	y	y	y	y	y	n	y	y	n	n	y	n	n	y	n	n2	M	(35,45]	Single	Employee	12
y	y	y	y	y	n	y	y	y	n	n	n	n	y	n	y	n	n4	F	(55,65]	Married	Management	11
y	y	y	y	y	y	y	y	y	y	n	n	y	y	n	n	n	n2	M	(55,65]	Married	Management	13
n	y	n	n	n	y	n	n	y	n	n	n	n	n	n	y	n	n4	F	(45,55]	Married	Foreman	5
y	y	y	n	y	y	n	y	y	y	n	n	y	y	n	y	n	n4	F	[15,25]	Single	NotAvailable	12
y	y	y	y	y	y	y	n	y	n	n	n	n	n	n	n	n	n3	M	(45,55]	Remarried	Management	9
y	y	y	y	y	n	y	n	y	n	n	n	y	n	n	y	n	n1	F	(25,35]	Married	Employee	10
y	y	y	y	y	y	y	n	y	n	n	n	n	n	n	n	n	n1	M	(25,35]	Single	Employee	9
y	y	y	y	y	n	y	y	y	n	n	n	n	n	n	n	n	n2	F	(25,35]	Single	Management	9
n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n0	F	(75,85]	Remarried	Management	0
y	y	n	n	y	y	n	y	y	n	n	n	n	n	n	n	n	n1	M	(35,45]	Married	NotAvailable	7
n	n	n	y	n	n	n	n	y	n	n	n	y	y	n	n	n	n0	M	(85,100]	Married	NotAvailable	4
y	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n	n	n4	M	(65,75]	Single	Management	3
y	y	y	y	y	y	y	y	y	n	n	y	n	n	n	n	n	n1	F	(45,55]	Married	Management	11
n	y	y	y	n	n	n	n	y	n	n	n	n	n	n	y	n	n2	F	[15,25]	Single	NotAvailable	6
y	y	y	y	n	y	y	y	n	n	n	n	n	n	n	n	n	n0	M	(25,35]	Single	Management	7
y	y	y	y	y	n	n	y	y	n	n	n	y	y	n	y	n	n1	F	(45,55]	Married	Management	11
y	y	y	y	n	n	n	n	y	y	n	n	y	n	n	n	n	n1	F	(35,45]	Married	Employee	8
y	n	y	n	y	n	y	y	y	n	n	n	n	n	n	n	n	n2	F	(65,75]	Divorcee	NotAvailable	7
y	y	y	y	y	y	n	y	y	y	n	n	n	n	n	n	n	n0	M	(25,35]	Single	Management	9
y	y	n	y	n	n	n	n	y	n	n	n	n	y	n	y	n	n0	F	(65,75]	Married	NotAvailable	6
y	y	y	y	n	y	y	n	n	n	n	n	y	n	n	n	n	n3	M	[15,25]	Single	NotAvailable	8
y	y	y	y	n	y	n	y	y	y	n	n	n	n	n	n	n	n2	M	(25,35]	Single	Employee	9
y	y	y	n	y	n	y	y	n	n	n	n	n	n	n	n	n	n0	F	[15,25]	Single	NotAvailable	6
y	y	y	y	y	n	y	y	y	n	n	y	n	y	n	n	n	n0	F	(45,55]	Married	Employee	10
y	n	n	n	n	n	n	y	y	n	n	n	y	n	n	n	n	n3	M	(55,65]	Single	Technician	5
y	n	n	n	y	n	n	n	n	y	n	n	n	n	n	n	n	n0	M	(65,75]	Married	Management	3
y	y	y	y	y	y	y	y	y	n	y	n	y	n	n	y	n	n3	M	[15,25]	Single	Employee	13
n	n	y	y	y	n	n	n	n	n	n	n	n	n	n	n	n	n4	F	(75,85]	Widower	Management	4
y	y	n	n	y	y	y	n	y	y	n	n	n	n	n	n	n	n1	M	[15,25]	Single	NotAvailable	8
y	y	y	y	y	n	y	n	y	n	n	n	n	n	n	y	n	n4	F	(55,65]	Married	Foreman	9
y	y	y	n	n	y	y	y	n	y	n	n	y	n	n	n	n	n2	M	[15,25]	Single	Manual_labourer	9
y	y	y	y	y	y	y	n	y	y	n	n	n	n	n	n	n	n3	F	[15,25]	Single	NotAvailable	10
y	y	y	y	y	n	y	y	y	n	y	n	y	n	n	n	n	n4	F	[15,25]	Single	NotAvailable	11
y	n	y	y	y	y	y	n	y	n	n	y	n	n	n	n	n	n2	F	(35,45]	Married	Management	9
y	y	y	y	y	n	n	y	y	n	n	n	n	n	n	n	n	n0	M	(65,75]	Married	Management	7
y	y	y	y	y	y	n	n	y	n	n	n	n	n	n	n	n	n2	F	(35,45]	Married	Management	8
y	y	y	n	y	y	y	n	y	n	n	n	n	n	n	n	n	n4	F	(55,65]	Married	Management	8
y	y	n	y	y	n	n	n	n	y	n	n	y	n	n	n	n	n3	F	(65,75]	Married	Employee	7
y	y	y	y	y	y	y	n	y	n	n	n	n	n	n	n	n	n2	F	(55,65]	Single	NotAvailable	9
n	n	n	n	n	n	n	y	n	n	n	n	y	y	y	y	n	n2	F	(55,65]	Married	Employee	6
y	y	n	y	y	y	n	y	y	y	n	n	n	y	n	n	n	n0	M	(45,55]	Married	NotAvailable	9
y	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n3	M	(35,45]	Single	Unskilled_worker	2
y	y	y	y	y	y	n	n	y	y	y	n	n	n	n	y	n	n4	F	(25,35]	Single	Management	11
y	y	y	y	y	y	y	y	y	y	n	n	n	n	n	y	n	n2	F	(25,35]	Single	Other	12
y	y	n	y	n	y	y	y	y	n	n	n	n	n	n	y	n	n0	M	(35,45]	Remarried	Management	8
y	y	y	n	y	n	y	y	y	y	n	n	n	n	n	y	n	n2	F	(55,65]	Married	Management	10
y	y	y	n	n	y	y	n	n	n	n	n	n	n	n	n	n	n4	F	(45,55]	Widower	Foreman	6
y	y	n	n	n	n	n	n	y	n	n	n	n	n	n	n	n	n3	F	(45,55]	Married	Manual_labourer	4
y	y	y	y	y	y	y	y	y	y	n	n	n	n	n	y	n	n1	M	[15,25]	Single	Management	12
y	y	y	y	y	n	n	y	n	n	n	n	y	y	n	n	n	n3	F	(35,45]	Single	Employee	9
y	y	y	n	y	n	n	y	n	n	n	n	y	n	n	n	n	n2	M	(45,55]	Single	Management	7
y	y	n	n	n	n	y	n	n	n	n	n	n	n	n	n	n	n0	M	(55,65]	Married	Management	3
y	y	y	y	y	y	y	n	y	y	n	n	y	y	y	y	n	n2	F	(35,45]	Married	NotAvailable	14
n	y	y	y	n	y	y	n	y	n	n	n	n	n	n	y	n	n4	F	(35,45]	Married	Employee	8
y	n	n	n	n	n	n	y	n	n	n	n	n	n	n	n	n	n0	F	(45,55]	Divorcee	Employee	2
y	n	n	y	n	n	y	n	n	n	n	n	y	n	n	n	n	n1	F	(25,35]	Married	Management	5
y	n	y	n	n	n	y	n	n	n	n	n	n	n	n	n	n	n1	M	(45,55]	Single	Management	4
y	y	y	n	n	y	n	n	n	y	n	n	n	n	n	y	n	n1	F	(25,35]	Single	NotAvailable	7
y	y	y	y	y	y	y	n	y	y	n	y	n	y	y	y	n	n0	F	(25,35]	Single	Management	13
y	y	y	n	y	y	y	n	n	y	y	y	y	y	n	y	n	n1	M	[15,25]	Married	Employee	13
y	n	n	n	n	n	n	y	n	n	n	n	n	n	n	n	n	n1	F	(75,85]	Divorcee	Employee	3
y	y	y	n	y	n	n	y	n	y	n	n	n	n	n	n	n	n4	F	(25,35]	Single	Foreman	7
y	y	y	n	n	n	y	y	y	n	n	n	n	n	n	n	n	n1	F	(25,35]	Single	Other	7
y	y	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n2	F	(35,45]	Single	Employee	3
y	y	n	n	y	y	n	n	n	n	n	n	n	n	n	y	n	n1	F	(35,45]	Married	Management	6
y	n	n	n	n	n	y	n	n	n	n	n	n	y	n	n	n	n0	F	(45,55]	Single	Employee	3
y	y	y	n	n	y	y	n	y	y	n	n	n	n	n	y	n	n1	M	[15,25]	Single	NotAvailable	9
n	n	n	n	n	n	n	n	y	n	n	n	y	n	n	n	n	n4	M	(45,55]	Married	Manual_labourer	3
y	y	y	y	y	y	n	y	y	y	y	n	n	n	n	n	n	n3	M	(45,55]	Divorcee	Management	11
y	y	y	y	y	y	y	n	y	n	n	y	y	y	y	y	n	n3	F	(45,55]	Married	Management	14
n	y	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n4	F	(65,75]	Married	Management	2
y	n	n	n	n	n	n	n	y	n	n	y	n	n	n	y	n	n1	M	(55,65]	Divorcee	Employee	5
n	y	n	n	n	y	y	y	y	y	n	n	y	n	n	y	n	n0	M	(75,85]	Remarried	Technician	8
y	y	y	n	n	y	y	n	n	n	n	n	n	n	n	n	n	n4	M	(25,35]	Single	Employee	6
y	y	y	y	y	y	n	y	y	y	n	n	y	n	n	n	n	n4	M	(25,35]	Single	Management	11
y	y	n	y	n	y	y	y	y	y	n	n	y	n	n	n	n	n1	M	[15,25]	Single	Manual_labourer	10
y	y	y	n	y	y	y	n	y	n	n	n	n	n	n	y	n	n4	F	[15,25]	Single	NotAvailable	9
y	y	y	y	y	y	y	y	y	y	n	n	n	n	n	y	n	n2	M	(25,35]	Single	Employee	12
y	y	n	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n1	F	(25,35]	Single	Foreman	4
y	y	y	n	n	n	y	n	n	n	n	n	n	n	n	y	n	n3	F	(25,35]	Divorcee	Employee	6
n	y	n	n	y	n	n	n	n	n	n	n	y	n	n	y	n	n4	M	(35,45]	Married	Manual_labourer	5
y	y	n	n	y	y	n	n	n	n	n	n	n	n	n	y	n	n1	F	(45,55]	Married	Employee	6
y	y	y	y	n	y	y	n	n	n	n	n	n	n	n	n	y	n2	M	(25,35]	Single	Management	8
y	y	y	y	y	n	n	n	n	n	n	n	n	n	n	n	n	n0	M	(35,45]	Married	Foreman	5
y	y	n	y	n	n	n	y	y	n	n	n	n	n	n	y	n	n0	M	(35,45]	Single	Management	6
y	y	n	n	y	n	n	n	n	y	n	n	n	n	n	n	n	n3	F	(35,45]	Single	Foreman	5
n	y	y	n	n	y	y	n	n	n	n	n	n	n	n	n	n	n0	F	[15,25]	Single	Foreman	4
y	y	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n4	F	(65,75]	Married	Unskilled_worker	3
y	y	y	n	n	y	n	n	n	n	n	n	n	n	n	n	n	n2	M	(45,55]	Married	Employee	5
n	y	y	n	n	n	n	n	y	y	n	n	n	n	n	n	n	n0	M	(35,45]	Single	Foreman	4
y	y	y	y	n	n	n	n	n	n	n	n	n	n	n	n	n	n0	F	(25,35]	Single	Foreman	4
y	y	y	n	n	n	y	n	y	n	n	n	n	n	n	n	n	n0	F	(25,35]	Married	Technician	5
y	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n4	F	(85,100]	Widower	Employee	2
n	y	n	n	n	n	y	n	y	y	n	n	n	n	n	n	n	n0	F	(35,45]	Single	Employee	4
n	n	n	y	n	y	n	n	y	n	n	n	n	n	n	n	n	n0	M	(25,35]	Married	Management	3
n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n4	F	(55,65]	Married	Employee	1
y	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n0	F	(65,75]	Widower	Employee	1
n	y	n	n	n	n	n	y	n	n	n	n	n	n	n	n	n	n3	F	(45,55]	Married	Employee	3
n	y	n	y	n	n	n	n	n	n	n	n	n	n	n	n	n	n3	F	(25,35]	Married	Employee	3
y	y	y	y	n	y	y	y	n	n	n	n	n	n	n	y	n	n2	F	(45,55]	Divorcee	Foreman	9
y	y	y	n	y	y	y	n	y	y	n	n	n	n	n	y	y	n2	M	(35,45]	Married	Management	11
y	y	n	y	y	y	n	y	y	n	y	n	y	n	n	n	n	n1	M	(55,65]	Married	NotAvailable	10
y	y	n	n	n	n	n	y	n	n	n	n	n	y	n	n	n	n4	M	(55,65]	Married	Employee	5
y	y	y	y	y	y	y	y	y	y	n	y	y	n	y	y	y	n2	M	[15,25]	Single	NotAvailable	16
y	y	y	y	y	n	y	y	y	y	n	y	n	n	n	n	n	n1	F	(25,35]	Single	NotAvailable	11
n	y	n	y	n	n	n	n	n	n	n	n	n	n	n	n	n	n4	F	(85,100]	Single	Employee	3
y	n	n	n	n	n	n	n	n	n	n	n	y	y	n	y	n	n3	M	(55,65]	Married	Management	5
n	y	y	y	n	y	y	y	y	y	n	n	n	y	n	n	y	n2	M	(55,65]	Married	Management	11
y	y	y	y	y	y	y	y	y	n	n	n	y	y	n	y	n	n3	M	(35,45]	Married	Management	13
y	n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n1	M	(45,55]	Married	NotAvailable	3
y	n	n	n	n	y	y	n	y	n	n	n	y	y	n	n	n	n3	M	(35,45]	Married	Management	7
y	y	n	n	n	n	n	n	y	n	n	n	n	y	n	n	n	n1	F	(65,75]	Married	NotAvailable	5
y	n	n	n	n	y	y	n	y	n	n	n	y	y	n	y	n	n1	M	(35,45]	Married	Management	8
y	y	y	y	y	y	y	y	y	y	n	n	n	n	n	y	n	n3	M	(25,35]	Married	Unskilled_worker	12
y	y	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n4	F	(25,35]	Married	Employee	3
y	y	y	y	y	n	y	n	y	n	n	n	y	n	n	n	y	n1	M	(25,35]	Married	Management	10
y	y	y	y	y	y	y	n	n	n	y	n	n	n	n	y	n	n4	M	(25,35]	Single	Employee	10
y	y	y	n	y	y	y	y	y	y	n	y	n	y	n	n	n	n3	F	(55,65]	Married	Employee	12
y	y	y	y	y	y	y	y	n	n	n	n	n	n	n	y	n	n4	M	[15,25]	Single	NotAvailable	10
y	n	n	y	y	n	n	n	y	n	n	n	n	n	n	y	n	n2	F	(45,55]	Married	Employee	6
y	y	y	y	y	y	y	y	y	n	n	n	n	n	n	n	n	n1	F	(45,55]	Married	Foreman	10
y	y	y	n	y	y	y	n	y	n	y	y	n	n	n	n	n	n2	M	(65,75]	Married	Employee	10
y	n	n	n	y	n	n	n	y	n	n	n	y	y	n	n	n	n3	M	(45,55]	Married	Manual_labourer	6
n	n	n	n	n	n	n	n	n	y	n	n	y	y	y	y	n	n0	F	(25,35]	Single	Manual_labourer	5
y	n	y	y	n	y	n	y	y	y	n	n	y	n	n	n	n	n3	F	(35,45]	Married	Employee	9
y	y	y	y	y	y	y	y	y	y	n	y	n	n	n	n	n	n4	M	(55,65]	Remarried	Management	12
y	y	y	y	y	y	y	y	y	n	n	n	y	n	n	y	n	n2	M	[15,25]	Single	NotAvailable	12
n	y	n	n	n	y	y	n	n	n	n	n	n	n	n	n	n	n2	M	[15,25]	Single	Employee	4
n	y	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n4	F	[15,25]	Single	Employee	2
n	y	n	n	n	n	n	n	y	n	n	n	n	n	n	n	n	n0	F	(45,55]	Married	Foreman	2
y	y	n	n	y	n	n	n	y	n	y	n	n	n	n	y	n	n4	M	(35,45]	Single	Manual_labourer	7
y	y	y	y	y	n	n	n	y	y	y	n	y	y	n	y	n	n2	M	(55,65]	Remarried	Management	12
n	n	n	n	n	n	n	n	n	n	n	n	y	n	n	n	n	n4	F	(65,75]	Married	Employee	2
y	n	y	y	y	y	y	y	y	n	n	n	y	n	y	n	n	n4	F	(55,65]	Divorcee	Management	11
y	y	y	y	y	y	y	y	y	n	n	n	n	n	n	y	n	n2	F	[15,25]	Single	Employee	11
n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n	n3	F	(65,75]	Married	Unskilled_worker	1
y	y	n	y	n	y	n	y	n	n	n	n	y	y	n	n	n	n2	F	(45,55]	Married	Employee	8
y	y	y	y	y	y	y	y	y	n	n	n	n	y	n	n	n	n1	M	[15,25]	Single	NotAvailable	11
y	y	y	y	n	y	y	n	n	y	n	n	n	n	y	n	n	n4	F	(35,45]	Married	Manual_labourer	9
n	y	n	n	n	y	y	y	y	n	n	n	y	n	n	y	n	n2	M	(25,35]	Remarried	Employee	8
y	y	y	n	n	n	n	n	y	n	n	n	n	n	n	y	y	n4	F	[15,25]	Single	NotAvailable	7
n	n	n	n	n	n	y	y	n	n	n	n	n	n	n	n	n	n1	M	(55,65]	Married	Manual_labourer	3
y	y	y	n	y	n	y	n	n	n	y	n	n	n	n	y	n	n3	M	(45,55]	Single	Manual_labourer	8
